OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
1800,13-011747,20130115,KINGSWAY DR btwn CEDARWOODS CRES & GREENFIELD AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1801,13-016170,20130120,ROBERT FERRIE DR btwn ROBERT FERRIE DR & THOMAS SLEE DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
1802,13-021654,20130127,HAYWARD AVE btwn COURTLAND AVE E & HANSON AVE,05-At railway crossing,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1803,13-020005,20130125,BRYBECK CRES btwn KARN ST & WESTMOUNT RD W,04-At/near private drive,01-Within intersection,03-Snow,01-Daylight,MIDBLOCK,
1804,13-054314,20130309,BARBARA CRES btwn AVALON PL & AVALON PL,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1805,13-166938,20130719,KING ST E btwn STIRLING AVE N & DANE ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1806,13-092925,20130426,HUNTINGTON PL btwn WESTWOOD DR & CUL DE SAC,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1807,13-092331,20130425,MILL ST btwn HEIMAN ST & BORDEN PKY,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1808,13-088650,20130421,SCHUELLER ST btwn TAGGE ST & STANLEY AVE,04-At/near private drive,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
1809,13-089761,20130421,FRANKLIN ST N btwn WEBER ST E & PROSPECT AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1810,13-019714,20130119,QUAIL HOLLOW btwn WINDRUSH TRAIL & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,"06-Dusk, artificial",MIDBLOCK,
1811,13-028037,20130204,LENNOX LEWIS WAY btwn BLOCK LINE RD & ARDELT AVE,04-At/near private drive,01-Within intersection,01-Clear,05-Dusk,MIDBLOCK,
1812,13-029311,20130206,WOODFIELD ST btwn APPLE RIDGE DR & WOODFIELD CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1813,13-026195,20130131,HACKBERRY ST btwn BUSH CLOVER CRES & ACTIVA AVE,01-Non intersection,02-Thru lane,03-Snow,05-Dusk,MIDBLOCK,
1814,13-026848,20130202,MCGEE AVE btwn INDIAN RD & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1815,13-052679,20130307,GREENFIELD AVE btwn TRAYNOR AVE & KINGSWAY DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1816,13-046322,20130227,EIGHTH AVE btwn GREENFIELD AVE & WILSON AVE,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",MIDBLOCK,
1817,13-047217,20130228,CAPRICE CRT btwn MONTE CARLO ST & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1818,13-048492,20130219,SHIRLEY AVE btwn RIVERBEND DR & BINGEMANS CENTRE DR,01-Non intersection,09-Right shoulder,03-Snow,"06-Dusk, artificial",MIDBLOCK,
1819,13-089779,20130420,OLD FOREST CRES btwn DRIFTWOOD DR & DRIFTWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1820,13-089947,20130422,CHERRYTREE CRT btwn WINDING WAY & CUL DE SAC,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1821,13-082246,20130412,WAGON ST btwn DEER RIDGE DR & BADEN CRT,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
1822,13-079000,20130407,GAGE AVE btwn WAVERLY RD & BELMONT AVE W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1823,13-073335,20130401,MARKWOOD DR btwn ROSSFORD CRES & HAZELGLEN DR,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
1824,13-138095,20130617,FOREST HILL DR btwn FISCHER HALLMAN RD & HICKORY HEIGHTS CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1825,13-138208,20130615,CALMCREST DR btwn BRIAR KNOLL DR & BLACKHORNE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1826,13-135484,20130613,BUTTONWOOD DR btwn WARREN RD & FOREST HILL DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1827,13-122528,20130530,BRUBACHER ST btwn LANCASTER ST E & SAMUEL ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1828,13-060603,20130317,ZELLER DR btwn ZELLER CRT & JANET CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1829,13-049033,20130302,JOSEPH ST btwn DAVID ST & GAUKEL ST,01-Non intersection,08-Left shoulder,01-Clear,07-Dark,MIDBLOCK,
1830,13-043027,20130223,BROCK ST btwn QUEEN ST S & WEST AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1831,13-038613,20130218,PARK ST btwn DOMINION ST & STRANGE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1832,13-069336,20130326,SIMS ESTATE DR btwn FAIRWAY RD N & BEAUMONT CRES,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1833,13-081049,20130412,YORK ST btwn MT HOPE ST & UNION BLVD,01-Non intersection,09-Right shoulder,04-Freezing Rain,99-Other,MIDBLOCK,
1834,13-081285,20130411,NORTHMANOR CRES btwn RESURRECTION DR & RESURRECTION DR,01-Non intersection,09-Right shoulder,04-Freezing Rain,"08-Dark, artificial",MIDBLOCK,
1835,13-092907,20130424,KRUG ST btwn KENSINGTON AVE & KRUG ST,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,
1836,13-195685,20130823,KINGSWOOD DR btwn APPALACHIAN CRES & ALPINE RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1837,13-101548,20130504,MELROSE AVE btwn CHAPEL ST & SHERIDAN CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1838,13-121854,20130530,DOOLEY DR btwn MIDLAND DR & SIMPSON AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1839,13-130040,20130608,QUAISER ST btwn BRIERDALE DR & QUAISER CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1840,13-146459,20130626,KING ST E btwn BORDEN AVE N & ONWARD AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1841,13-196816,20130824,HURON RD btwn MAXWELL DR & BATTLER RD,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
1842,13-143828,20130623,OTTERBEIN RD btwn BRANDY CRES & END,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
1843,13-143316,20130623,MILL PARK DR btwn HURON RD & GREEN VALLEY DR,01-Non intersection,10-Not on roadway - left side,01-Clear,05-Dusk,MIDBLOCK,
1844,13-062738,20130319,WESTHEIGHTS DR btwn MCGARRY DR & LORILEE CRES,04-At/near private drive,02-Thru lane,03-Snow,05-Dusk,MIDBLOCK,
1845,13-074478,20130404,ROSEMOUNT DR btwn SHERWOOD AVE & RIVER RD E,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1846,13-073805,20130402,ELIZA AVE btwn NYLES DR & GRAVEL RIDGE TRAIL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1847,13-075947,20130404,BLOCK LINE RD btwn KINGSWOOD DR & HOMER WATSON BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1848,13-108891,20130515,RIVER RD E btwn RENNIE DR & OLD CHICOPEE DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
1849,13-038925,20130218,MANITOU DR btwn CAYUGA DR & HOMER WATSON BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1850,13-004800,20130106,SUMMIT AVE btwn THORNRIDGE CRES & LARKSPUR CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
1851,13-006070,20130105,CLARK AVE btwn HARBER AVE & BROADMOOR AVE,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1852,13-070500,20130328,HIDDEN VALLEY RD btwn RIVER VALLEY DR & WABANAKI DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,07-Dark,MIDBLOCK,
1853,13-064882,20130323,STONYBROOK DR btwn SWEETBRIAR DR & VILLAGE CRES,01-Non intersection,08-Left shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
1854,13-061284,20130318,KING ST W btwn WATER ST S & FRANCIS ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1855,13-093906,20130426,BELMONT AVE W btwn JACK AVE & VICTORIA ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1856,13-107819,20130513,MONTANA CRES btwn BLACKWELL DR & BLACKWELL DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1857,13-110238,20130516,ACTIVA AVE btwn GREY FOX DR & BUSH CLOVER CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1858,13-062339,20130319,WESTFOREST TRAIL btwn GREENCROFT CRT & SLEEPY HOLLOW CRT,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1859,13-000655,20130101,WATERBEND CRES btwn GRASSWOOD ST & GRASSWOOD ST,04-At/near private drive,02-Thru lane,01-Clear,"04-Dawn, artificial",MIDBLOCK,
1860,13-000029,20130101,ROSSFORD CRES btwn MARKWOOD DR & MARKWOOD DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1861,13-012852,20130116,HOMEWOOD AVE btwn QUEEN ST S & WEST AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1862,13-018324,20130123,DALEWOOD DR btwn EASTWOOD DR & FRANKLIN ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1863,13-107551,20130512,GRULKE ST btwn KINZIE AVE & FAIRWAY RD N,04-At/near private drive,09-Right shoulder,99-Other,01-Daylight,MIDBLOCK,
1864,13-099040,20130502,SWEET WILLIAM ST btwn ACTIVA AVE & PERIWINKLE ST,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,MIDBLOCK,
1865,13-100911,20130505,WILSON AVE btwn NINTH AVE & WOODHAVEN RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1866,13-104994,20130510,PARK ST btwn DEVON ST & VICTORIA ST S,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
1867,13-121123,20130529,GREENBROOK DR btwn WARREN RD & STONYBROOK DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1868,13-016987,20130120,RISTAU PL btwn RISTAU CRES & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1869,13-027183,20130203,TRAYNOR AVE btwn CONNAUGHT ST & GREENFIELD AVE,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1870,13-022353,20130128,BURGETZ AVE btwn THALER AVE & GRULKE ST,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
1871,13-007380,20130109,BELMONT AVE W btwn GAGE AVE & GLASGOW ST,01-Non intersection,99-Other,01-Clear,01-Daylight,MIDBLOCK,
1872,13-021652,20130127,COURTLAND AVE W btwn COURTLAND AVE E & DAVID ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1873,13-005516,20130108,OTTAWA ST N btwn OLD CHICOPEE DR & MONTCALM DR,04-At/near private drive,02-Thru lane,01-Clear,"06-Dusk, artificial",MIDBLOCK,
1874,13-062709,20130320,RIVER RD E btwn ISLINGTON AVE & KRUG ST,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
1875,13-057472,20130314,SHELLEY DR btwn HILLMOUNT ST & COURTLAND AVE E,04-At/near private drive,12-Off highway,03-Snow,"08-Dark, artificial",MIDBLOCK,
1876,13-063705,20130321,BEECHCROFT PL btwn WESTFOREST TRAIL & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1877,13-112356,20130519,FRANKFURT ST btwn SIENNA CRES & SIENNA CRES,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
1878,13-117831,20130525,THOMAS SLEE DR btwn DOON SOUTH DR & SOUTHRIDGE DR,04-At/near private drive,08-Left shoulder,01-Clear,01-Daylight,MIDBLOCK,
1879,13-115304,20130518,WAKE ROBIN DR btwn MILFOIL CRES & WINDFLOWER DR,04-At/near private drive,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
1880,13-114584,20130521,SAMUEL ST btwn BINGEMAN ST & CHAPEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1881,13-107973,20130514,AHRENS ST W btwn WILHELM ST & BLUCHER ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
1882,13-119668,20130527,UNION ST btwn OXFORD ST & BOND ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1883,13-133375,20130612,FERGUS AVE btwn FALESY AVE & CLOVER PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1884,13-120314,20130527,GUERIN AVE btwn KINZIE AVE & FLORENCE AVE,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
1885,13-040620,20130220,PLAINS RD btwn FISCHER HALLMAN RD & TRUSSLER RD,01-Non intersection,11-Not on roadway - right side,03-Snow,07-Dark,MIDBLOCK,
1886,13-050363,20130304,SIMS ESTATE DR btwn BEAUMONT CRES & DESMOND ST,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1887,13-024054,20130130,GRACEFIELD CRES btwn KINGSWOOD DR & KINGSWOOD DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1888,13-019379,20130124,FREDERICK ST btwn BRUCE ST & ETHEL ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
1889,13-073812,20130403,WELLINGTON ST N btwn MARGARET AVE & ST LEGER ST,04-At/near private drive,02-Thru lane,01-Clear,03-Dawn,MIDBLOCK,
1890,13-074928,20130403,CARNABY PL btwn CARNABY CRES & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
1891,13-062301,20130319,CLUTHE CRES btwn MILLWOOD CRES & MILLWOOD CRES,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
1892,13-065873,20130324,WILSON AVE btwn FAIRWAY RD S & WEBSTER RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1893,13-157087,20130708,RIVERBEND DR btwn SHIRLEY AVE & GUELPH ST,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
1894,13-121379,20130529,REICHERT DR btwn NEW DUNDEE RD & END,01-Non intersection,10-Not on roadway - left side,,01-Daylight,MIDBLOCK,
1895,13-030878,20130208,WOODFERN CRT btwn CHANDLER DR & CUL DE SAC,04-At/near private drive,09-Right shoulder,03-Snow,01-Daylight,MIDBLOCK,
1896,13-044484,20130225,CHAPEL ST btwn LANCASTER ST E & SAMUEL ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1897,13-033806,20130211,HANSON AVE btwn ARDELT AVE & HAYWARD AVE,02-Intersection related,02-Thru lane,04-Freezing Rain,"08-Dark, artificial",MIDBLOCK,
1898,13-034013,20130212,ALPINE RD btwn FLINT DR & ALPINE CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1899,13-117514,20130525,HIGHVIEW DR btwn WILLOW GREEN CRT & SUGAR MAPLE ST,01-Non intersection,12-Off highway,01-Clear,"08-Dark, artificial",MIDBLOCK,
1900,13-079094,20130409,CARLYLE DR btwn CARLYLE PL & WINDY RIDGE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1901,13-073338,20130402,SECOND AVE btwn KINGSWAY DR & CONNAUGHT ST,04-At/near private drive,02-Thru lane,01-Clear,"02-Daylight, artificial",MIDBLOCK,
1902,13-076476,20130406,UNION BLVD btwn BELMONT AVE W & SEVERN AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1903,13-076610,20130406,TEMPLEWOOD DR btwn RUSH MEADOW ST & MARL MEADOW DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1904,13-028383,20130205,VILLAGE RD btwn STONYBROOK DR & WESTMOUNT RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1905,13-232777,20130929,DRIFTWOOD DR btwn DRIFTWOOD PL & OLD FOREST CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1906,13-044479,20130223,ROYAL ORCHARD PL btwn ROYAL ORCHARD DR & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1907,13-050390,20130304,COUNTRYSTONE DR btwn IRON GATE ST & UNIVERSITY AVE W,04-At/near private drive,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
1908,13-007925,20130110,MISTY CRES btwn MISTY ST & MISTY ST,01-Non intersection,10-Not on roadway - left side,01-Clear,07-Dark,MIDBLOCK,
1909,13-050797,20130304,CHARLES ST W btwn FRANCIS ST S & VICTORIA ST S,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1910,13-050762,20130305,QUEEN ST N btwn ST LEGER ST & LANCASTER ST W,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
1911,13-031619,20130209,THE BOARDWALK btwn IRA NEEDLES BLVD & THE BOARDWALK,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1912,13-040404,20130220,FOREST CREEK DR btwn CREEK RIDGE ST & PONDCLIFFE DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
1913,13-146001,20130626,PAULANDER DR btwn LAWRENCE AVE & VICTORIA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1914,13-102042,20130506,DONNENWERTH DR btwn BRIDLEWREATH ST & ACTIVA AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1915,13-099064,20130503,ELM ST btwn STRANGE ST & END,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
1916,13-129718,20130607,STRASBURG RD btwn CHANDLER DR & OTTAWA ST S,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1917,13-006028,20130107,BRISBANE CRT btwn JOSHUA ST & CUL DE SAC,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1918,13-051651,20130303,CENTURY HILL DR btwn DEVONGLEN DR & SOUTHWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1919,13-051850,20130305,WALTER ST btwn WELLINGTON ST S & AGNES ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1920,13-039508,20130218,WESTVIEW CRT btwn WESTVIEW CRES & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
1921,13-039039,20130218,COTTON GRASS ST btwn DUBRICK CRES & COMMONWEALTH ST,04-At/near private drive,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
1922,13-029463,20130206,TRILLIUM DR btwn MCBRINE DR & WASHBURN DR,01-Non intersection,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
1923,13-032337,20130209,MAX BECKER DR btwn ISABELLA ST & COMMONWEALTH ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1924,13-042057,20130222,KRUG ST btwn ROSE ST & TROY ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1925,13-040170,20130220,MOOREGATE CRES btwn HAZELGLEN DR & HAZELGLEN DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1926,13-031748,20130209,FIFTH AVE btwn CONNAUGHT ST & GREENFIELD AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1927,13-035719,20130214,GATEWAY PARK DR btwn SPORTSWORLD DR & TU LANE ST,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
1928,13-038771,20130218,KEEWATIN AVE btwn DUNNIGAN DR & GLENCLIFFE CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1929,13-031388,20130209,STRATHCONA CRES btwn CARSON DR & STRATHCONA CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
1930,13-027806,20130204,CHOPIN DR btwn MARKWOOD DR & HAZELGLEN DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1931,13-045962,20130227,HILLBROOK CRES btwn ELM RIDGE DR & ELM RIDGE DR,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
1932,13-043500,20130224,EASTFOREST TRAIL btwn WILDLARK CRES & VICTORIA ST S,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
1933,13-048674,20130302,RIEHM ST btwn HARDING ST & HARDING ST,04-At/near private drive,02-Thru lane,01-Clear,"04-Dawn, artificial",MIDBLOCK,
1934,13-094901,20130428,ELLEN ST E btwn ELLEN ST W & MANSION ST,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
1935,13-101459,20130506,OLD CARRIAGE DR btwn OLD CARRIAGE CRT & HOMER WATSON BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1936,13-095671,20130429,BINGEMANS CENTRE DR btwn SHIRLEY DR & VICTORIA ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1937,13-081711,20130412,KINGSWAY DR btwn GREENFIELD AVE & WILSON AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1938,13-123517,20130531,THALER AVE btwn KINZIE AVE & FAIRWAY RD N,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,MIDBLOCK,
1939,13-097327,20130501,WINDALE CRES btwn VALLEYVIEW RD & HOWE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1940,13-099085,20130502,PEPPERWOOD CRES btwn MORGAN AVE & MORGAN AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1941,13-029558,20130206,KING ST E btwn MADISON AVE S & CAMERON ST S,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
1942,13-108147,20130514,MANCHESTER RD btwn NOTTINGHAM AVE & WEDGEWOOD DR,01-Non intersection,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
1943,13-105563,20130510,MCGARRY DR btwn FISCHER HALLMAN RD & ELM RIDGE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1944,13-104169,20130508,BARCLAY AVE btwn BINSCARTH RD & GLEN RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1945,13-125032,20130601,HARVEST CRT btwn DOON VILLAGE RD & CUL DE SAC,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,MIDBLOCK,
1946,14-112418,20140522,AHRENS ST W btwn GUELPH ST & HARTWOOD PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1947,12-011061,20120114,AVALON PL btwn STIRLING AVE S & BARBARA CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
1948,12-293213,20121217,COUNTRY HILL DR btwn FOUR SEASONS CRT & MARTINGLEN CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1949,12-290367,20121213,ARNOLD ST btwn OXFORD ST & LANCASTER ST W,01-Non intersection,09-Right shoulder,01-Clear,"08-Dark, artificial",MIDBLOCK,
1950,12-053699,20120307,KRUG ST btwn CAMBRIDGE AVE & ETON DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1951,12-033396,20120211,WINDING WOOD CRES btwn DOON SOUTH DR & CREST HAVEN ST,04-At/near private drive,09-Right shoulder,03-Snow,"08-Dark, artificial",MIDBLOCK,
1952,12-034157,20120211,UPPER CANADA DR btwn DOON VILLAGE RD & FARRIER DR,04-At/near private drive,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",MIDBLOCK,
1953,12-052939,20120304,HURON RD btwn HOMER WATSON ONRAMP & HOMER WATSON OFFRAMP,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1954,12-052083,20120302,CHESTNUT ST btwn MANSION ST & FREDERICK ST,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
1955,12-214133,20120910,DOON VALLEY DR btwn OLD MILL RD & END,03-At intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1956,12-222759,20120918,OBERMEYER DR btwn FERGUS AVE & KINZIE AVE,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,MIDBLOCK,
1957,12-223948,20120921,WEST AVE btwn BROCK ST & HOMEWOOD AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1958,12-193818,20120818,RIVER RD E btwn HICKSON DR & OTTAWA ST N,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
1959,12-196700,20120822,GUELPH ST btwn BIRCH AVE & MAPLE AVE,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
1960,12-176805,20120729,JANSEN AVE btwn HUBER ST & WALKER ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
1961,12-228281,20120926,HERITAGE DR btwn OAKHURST CRES & INDIAN RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
1962,12-292954,20121214,WINDING MEADOW CRT btwn WESTMEADOW DR & CUL DE SAC,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
1963,12-297939,20121222,BLACKWELL DR btwn LANARK CRES & MONTANA CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
